fid,DAUID,DGUID,LANDAREA,PRUID,lon,lat,area-DAs(s,flood-area,flood-prc,parks-area
147,"59150478",2021S051259150478,0.098600000000000,"59",-123.092513,49.222715,98614.896,0.000000000000000,0.000000000000000,
148,"59150479",2021S051259150479,0.164900000000000,"59",-123.097769,49.222243,164933.687,0.000000000000000,0.000000000000000,71315.100000
149,"59150480",2021S051259150480,0.064100000000000,"59",-123.096146,49.219713,64143.912,0.000000000000000,0.000000000000000,
150,"59150481",2021S051259150481,0.056400000000000,"59",-123.099782,49.219268,56399.531,0.000000000000000,0.000000000000000,
151,"59150482",2021S051259150482,0.089100000000000,"59",-123.099859,49.217110,89088.060,0.000000000000000,0.000000000000000,
152,"59150483",2021S051259150483,0.059600000000000,"59",-123.104032,49.217649,59550.397,0.000000000000000,0.000000000000000,
153,"59150484",2021S051259150484,0.090800000000000,"59",-123.104158,49.215467,90770.943,0.000000000000000,0.000000000000000,
154,"59150485",2021S051259150485,0.137600000000000,"59",-123.108248,49.215729,137575.630,0.000000000000000,0.000000000000000,
155,"59150486",2021S051259150486,0.059900000000000,"59",-123.111257,49.215570,59861.228,0.000000000000000,0.000000000000000,
156,"59150487",2021S051259150487,0.166200000000000,"59",-123.114513,49.215644,166189.057,0.000000000000000,0.000000000000000,53267.000000
157,"59150488",2021S051259150488,0.069800000000000,"59",-123.115142,49.212014,69801.845,0.000000000000000,0.000000000000000,
158,"59150489",2021S051259150489,0.120200000000000,"59",-123.118694,49.211817,120249.375,0.000000000000000,0.000000000000000,5135.351000
159,"59150490",2021S051259150490,0.093800000000000,"59",-123.122186,49.210848,93824.348,0.000000000000000,0.000000000000000,
160,"59150491",2021S051259150491,0.029500000000000,"59",-123.122428,49.208860,29525.036,0.000000000000000,0.000000000000000,
161,"59150492",2021S051259150492,0.071400000000000,"59",-123.125694,49.209767,71358.070,0.000000000000000,0.000000000000000,
162,"59150493",2021S051259150493,0.035400000000000,"59",-123.124658,49.207747,35401.980,0.000000000000000,0.000000000000000,
163,"59150494",2021S051259150494,0.026900000000000,"59",-123.126836,49.207203,26937.871,0.000000000000000,0.000000000000000,
164,"59150495",2021S051259150495,0.641100000000000,"59",-123.127713,49.203653,641142.888,422455.411182050884236,65.890992309369693,18843.081000
165,"59150496",2021S051259150496,0.034900000000000,"59",-123.130264,49.207694,34895.347,0.000000000000000,0.000000000000000,
166,"59150497",2021S051259150497,0.031100000000000,"59",-123.131860,49.206297,31106.690,0.000000000000000,0.000000000000000,
167,"59150498",2021S051259150498,0.037600000000000,"59",-123.133138,49.207736,37588.402,0.000000000000000,0.000000000000000,
168,"59150499",2021S051259150499,0.035300000000000,"59",-123.135420,49.207130,35302.459,0.000000000000000,0.000000000000000,
169,"59150500",2021S051259150500,0.045600000000000,"59",-123.134588,49.205409,45588.090,0.000000000000000,0.000000000000000,
170,"59150503",2021S051259150503,0.042600000000000,"59",-123.141392,49.206949,42604.560,0.000000000000000,0.000000000000000,
171,"59150504",2021S051259150504,0.218200000000000,"59",-123.145237,49.210553,218239.125,0.000000000000000,0.000000000000000,23844.259000
172,"59150505",2021S051259150505,0.105100000000000,"59",-123.142424,49.212209,105066.590,0.000000000000000,0.000000000000000,
173,"59150506",2021S051259150506,0.086200000000000,"59",-123.145430,49.214706,86169.595,0.000000000000000,0.000000000000000,
174,"59150507",2021S051259150507,0.147200000000000,"59",-123.141930,49.216782,147246.944,0.000000000000000,0.000000000000000,9437.057000
175,"59150508",2021S051259150508,0.126600000000000,"59",-123.145978,49.217692,126562.341,0.000000000000000,0.000000000000000,
176,"59150509",2021S051259150509,0.165300000000000,"59",-123.149454,49.216113,165331.023,0.000000000000000,0.000000000000000,
177,"59150510",2021S051259150510,0.186400000000000,"59",-123.148347,49.222093,186384.289,0.000000000000000,0.000000000000000,
178,"59150511",2021S051259150511,0.127700000000000,"59",-123.143427,49.220574,127670.324,0.000000000000000,0.000000000000000,2882.514000
179,"59150512",2021S051259150512,0.221100000000000,"59",-123.142506,49.224368,221127.714,0.000000000000000,0.000000000000000,
180,"59150513",2021S051259150513,0.169200000000000,"59",-123.137512,49.221308,169181.724,0.000000000000000,0.000000000000000,
181,"59150514",2021S051259150514,0.201600000000000,"59",-123.136130,49.225242,201569.776,0.000000000000000,0.000000000000000,
182,"59150515",2021S051259150515,0.207300000000000,"59",-123.132237,49.221446,207282.934,0.000000000000000,0.000000000000000,
183,"59150516",2021S051259150516,0.153800000000000,"59",-123.129444,49.224565,153799.642,0.000000000000000,0.000000000000000,
184,"59150517",2021S051259150517,0.136400000000000,"59",-123.124848,49.222606,136369.058,0.000000000000000,0.000000000000000,
185,"59150518",2021S051259150518,0.130400000000000,"59",-123.123767,49.224990,130446.497,0.000000000000000,0.000000000000000,
186,"59150519",2021S051259150519,0.156000000000000,"59",-123.118678,49.223999,155980.113,0.000000000000000,0.000000000000000,
187,"59150520",2021S051259150520,0.164300000000000,"59",-123.119006,49.228043,164337.671,0.000000000000000,0.000000000000000,50361.704000
188,"59150521",2021S051259150521,0.157600000000000,"59",-123.114058,49.228595,157640.806,0.000000000000000,0.000000000000000,
189,"59150522",2021S051259150522,0.122000000000000,"59",-123.110123,49.227406,122037.731,0.000000000000000,0.000000000000000,
190,"59150523",2021S051259150523,0.117000000000000,"59",-123.107068,49.229614,117046.507,0.000000000000000,0.000000000000000,
191,"59150524",2021S051259150524,0.086600000000000,"59",-123.105825,49.226956,86642.572,0.000000000000000,0.000000000000000,
192,"59150526",2021S051259150526,0.082100000000000,"59",-123.103598,49.224461,82071.182,0.000000000000000,0.000000000000000,
193,"59150527",2021S051259150527,0.063700000000000,"59",-123.099595,49.224665,63717.252,0.000000000000000,0.000000000000000,
194,"59150529",2021S051259150529,0.096200000000000,"59",-123.097011,49.229043,96194.850,0.000000000000000,0.000000000000000,10552.802000
195,"59150530",2021S051259150530,0.049300000000000,"59",-123.095654,49.230168,49254.021,0.000000000000000,0.000000000000000,
196,"59150531",2021S051259150531,0.173600000000000,"59",-123.093931,49.231461,173608.740,0.000000000000000,0.000000000000000,
197,"59150534",2021S051259150534,0.098400000000000,"59",-123.102856,49.234180,98411.178,0.000000000000000,0.000000000000000,
198,"59150535",2021S051259150535,0.093100000000000,"59",-123.099068,49.234913,93067.226,0.000000000000000,0.000000000000000,
199,"59150536",2021S051259150536,0.049900000000000,"59",-123.099730,49.237359,49927.934,0.000000000000000,0.000000000000000,3665.450000
200,"59150537",2021S051259150537,0.088000000000000,"59",-123.099240,49.239283,88006.096,0.000000000000000,0.000000000000000,
201,"59150538",2021S051259150538,0.079700000000000,"59",-123.103083,49.238947,79666.163,0.000000000000000,0.000000000000000,
202,"59150539",2021S051259150539,0.093800000000000,"59",-123.104796,49.236404,93783.053,0.000000000000000,0.000000000000000,
203,"59150540",2021S051259150540,0.122400000000000,"59",-123.108798,49.234442,122368.969,0.000000000000000,0.000000000000000,
204,"59150541",2021S051259150541,0.237500000000000,"59",-123.110896,49.231958,237516.843,0.000000000000000,0.000000000000000,27891.453000
205,"59150542",2021S051259150542,0.097600000000000,"59",-123.113868,49.235035,97649.708,0.000000000000000,0.000000000000000,
206,"59150543",2021S051259150543,0.233900000000000,"59",-123.118450,49.236684,233854.082,0.000000000000000,0.000000000000000,
207,"59150544",2021S051259150544,0.199100000000000,"59",-123.119404,49.231962,199085.125,0.000000000000000,0.000000000000000,
208,"59150545",2021S051259150545,0.457100000000000,"59",-123.124082,49.237753,457079.076,0.000000000000000,0.000000000000000,47397.117000
209,"59150546",2021S051259150546,0.171400000000000,"59",-123.125910,49.231500,171403.614,0.000000000000000,0.000000000000000,
210,"59150547",2021S051259150547,0.048100000000000,"59",-123.122781,49.230879,48094.598,0.000000000000000,0.000000000000000,
211,"59150548",2021S051259150548,0.146400000000000,"59",-123.125001,49.227808,146373.036,0.000000000000000,0.000000000000000,
212,"59150549",2021S051259150549,0.151000000000000,"59",-123.131646,49.228042,151012.466,0.000000000000000,0.000000000000000,
213,"59150550",2021S051259150550,0.208200000000000,"59",-123.130991,49.231609,208151.769,0.000000000000000,0.000000000000000,40298.818000
214,"59150551",2021S051259150551,0.162700000000000,"59",-123.135491,49.230738,162746.706,0.000000000000000,0.000000000000000,
215,"59150552",2021S051259150552,0.164200000000000,"59",-123.138266,49.230880,164167.084,0.000000000000000,0.000000000000000,
216,"59150553",2021S051259150553,0.336200000000000,"59",-123.142614,49.231120,336223.852,0.000000000000000,0.000000000000000,
217,"59150554",2021S051259150554,0.239300000000000,"59",-123.148216,49.228833,239291.682,0.000000000000000,0.000000000000000,
218,"59150555",2021S051259150555,0.173000000000000,"59",-123.149244,49.232628,173007.522,0.000000000000000,0.000000000000000,
219,"59150556",2021S051259150556,0.122100000000000,"59",-123.154370,49.232676,122103.564,0.000000000000000,0.000000000000000,
220,"59150557",2021S051259150557,0.106300000000000,"59",-123.154025,49.229147,106263.168,0.000000000000000,0.000000000000000,
221,"59150558",2021S051259150558,0.067800000000000,"59",-123.157855,49.231187,67751.736,0.000000000000000,0.000000000000000,
222,"59150559",2021S051259150559,0.089600000000000,"59",-123.157719,49.228409,89608.798,0.000000000000000,0.000000000000000,
223,"59150560",2021S051259150560,0.149300000000000,"59",-123.161851,49.229236,149291.606,0.000000000000000,0.000000000000000,
224,"59150561",2021S051259150561,0.274800000000000,"59",-123.162257,49.225372,274817.589,0.000000000000000,0.000000000000000,44595.016000
225,"59150562",2021S051259150562,0.181800000000000,"59",-123.165178,49.230537,181766.977,0.000000000000000,0.000000000000000,
226,"59150563",2021S051259150563,0.042600000000000,"59",-123.160706,49.232802,42552.880,0.000000000000000,0.000000000000000,
227,"59150564",2021S051259150564,0.090300000000000,"59",-123.164384,49.233783,90251.492,0.000000000000000,0.000000000000000,14955.385000
228,"59150565",2021S051259150565,0.115400000000000,"59",-123.163830,49.236405,115387.886,0.000000000000000,0.000000000000000,
229,"59150566",2021S051259150566,0.048000000000000,"59",-123.159683,49.235515,48035.882,0.000000000000000,0.000000000000000,
