GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
59150396,30.0,1.9047619047619049,9.1,0.0,97.2,97.27657857575146,7.4,0.0,0.0,43.5,5.2,46.4,4.3,8.8,82.28511530398323,15.7,37.1,60.86956521739131,61.4,37.1,59.3,70.2,0.0,26.8,75.7,3.0,4.0,80.7,68.4
59150397,46.34146341463415,2.7027027027027026,10.0,0.0,100.0,92.99979826507969,11.8,0.0,0.0,60.7,3.6,26.8,0.0,6.9,81.23689727463312,6.1,31.1,36.36363636363637,41.4,40.5,5.9,34.5,0.0,20.7,89.3,6.0,5.7,65.5,37.9
59150398,66.66666666666666,5.47945205479452,10.2,0.0,94.0,90.17550938067379,21.6,0.0,0.0,54.7,14.0,16.4,0.0,6.7,82.54716981132076,17.4,13.9,36.36363636363637,30.0,45.8,27.0,36.7,0.0,23.3,84.9,10.2,7.0,63.400000000000006,13.3
59150399,60.46511627906976,8.235294117647058,14.8,0.0,100.0,94.96671373814807,20.4,0.0,0.0,33.0,26.6,26.4,0.0,5.3,87.78825995807128,21.5,17.6,26.190476190476193,50.0,47.1,28.6,47.4,0.0,37.8,86.3,3.7,4.8,68.5,29.0
59150400,56.57894736842105,7.575757575757576,9.0,0.0,96.6,91.18418398224733,16.9,0.0,0.0,37.4,29.9,22.4,0.0,8.3,85.03668763102725,13.3,25.0,32.142857142857146,43.8,50.8,32.4,43.8,0.0,14.6,84.5,6.4,5.8,70.89999999999999,33.3
59150401,55.932203389830505,8.411214953271028,15.5,0.0,95.7,92.89893080492233,29.2,0.0,0.0,30.5,23.4,27.6,3.1,9.5,83.85744234800839,14.3,16.8,37.5,40.5,45.8,35.4,47.6,0.0,36.6,80.3,0.0,5.8,71.4,26.2
59150402,58.620689655172406,6.896551724137931,18.0,0.0,100.0,91.78938874319144,18.2,0.0,0.0,30.8,15.8,19.0,1.5,0.0,82.80922431865828,19.5,11.2,24.137931034482758,44.7,56.9,27.3,40.4,0.0,31.1,76.5,6.6,6.1,63.89999999999999,23.500000000000004
59150403,47.05882352941176,6.862745098039216,19.3,0.0,92.1,93.90760540649586,18.4,0.0,0.0,30.7,5.3,22.4,3.5,0.0,85.16771488469601,11.4,18.6,29.411764705882355,52.2,55.9,26.3,43.5,0.0,31.9,72.8,5.3,5.9,74.0,32.599999999999994
59150404,64.58333333333334,10.75268817204301,12.7,0.0,98.6,91.8902562033488,14.0,0.0,2.9,35.6,15.4,21.6,0.0,5.9,83.85744234800839,6.8,11.8,26.666666666666668,35.3,48.4,26.0,38.2,0.0,20.6,77.9,5.5,5.7,73.5,29.400000000000002
59150405,71.9298245614035,6.315789473684211,14.8,0.0,100.0,91.99112366350616,20.8,0.0,0.0,30.4,26.8,23.6,0.0,5.6,85.03668763102725,14.4,14.7,28.947368421052634,47.2,54.7,35.8,55.6,0.0,30.6,86.6,0.0,5.1,86.1,22.2
59150406,51.02040816326531,5.607476635514018,11.5,0.0,100.0,93.70587048618115,11.1,0.0,0.0,40.8,3.3,27.6,0.0,10.9,85.16771488469601,10.0,21.5,42.10526315789473,45.7,39.3,22.2,28.3,0.0,26.7,76.0,0.0,6.0,58.599999999999994,34.7
59150407,48.275862068965516,7.6923076923076925,15.4,0.0,96.9,92.0919911236635,19.1,0.0,0.0,43.8,7.3,22.2,0.0,5.3,83.85744234800839,8.5,25.0,31.88405797101449,42.1,37.8,33.8,38.6,0.0,24.6,90.4,4.8,5.7,70.2,24.6
59150408,60.0,3.418803418803419,11.8,0.0,97.1,93.80673794633852,19.6,0.0,0.0,33.3,16.7,21.6,0.0,5.8,85.16771488469601,9.2,17.9,45.16129032258064,53.8,45.3,30.4,51.9,0.0,24.5,72.7,2.9,4.8,63.400000000000006,30.7
59150409,61.53846153846154,8.24742268041237,5.8,0.0,95.6,90.07464192051644,16.7,0.0,0.0,29.4,4.6,18.6,0.0,0.0,85.69182389937107,25.9,25.8,31.11111111111111,51.4,50.5,33.3,31.4,0.0,30.6,72.5,3.8,5.6,68.6,20.0
59150410,58.57142857142858,7.4074074074074066,9.7,0.0,95.5,92.0919911236635,20.8,0.0,0.0,27.6,19.2,16.4,0.0,4.9,83.85744234800839,19.0,12.6,34.375,59.0,63.0,26.4,45.9,0.0,37.1,73.7,4.2,5.0,52.4,23.0
59150412,56.52173913043478,5.063291139240507,9.1,0.0,100.0,90.37724430098851,30.3,0.0,0.0,27.5,19.8,18.8,0.0,0.0,85.03668763102725,12.1,25.3,27.27272727272727,33.3,54.4,27.3,33.3,0.0,15.6,62.6,0.0,5.8,60.699999999999996,39.4
59150414,53.333333333333336,9.917355371900827,12.8,0.0,97.3,91.28505144240468,19.6,0.0,2.1,51.4,11.3,26.6,0.0,0.0,85.16771488469601,4.3,19.8,39.34426229508197,40.9,42.1,31.4,31.8,0.0,14.0,90.8,7.7,5.5,79.50000000000001,31.8
59150415,55.35714285714286,9.166666666666666,13.8,0.0,97.5,92.39459350413557,24.0,0.0,2.9,26.1,21.0,20.8,1.4,7.8,85.03668763102725,13.1,18.3,33.84615384615385,43.1,52.5,24.0,49.0,0.0,34.0,71.7,3.4,5.2,52.8,17.599999999999998
59150416,58.333333333333336,7.291666666666667,15.5,0.0,98.4,92.79806334476498,14.6,0.0,0.0,29.5,15.2,21.4,7.6,4.9,81.23689727463312,17.1,18.8,29.166666666666668,43.9,50.0,18.8,34.1,0.0,23.8,71.4,8.6,6.3,85.4,39.0
