DGUID,SoVI,Latitude,Longitude,geometry,area
2021S051259153088,48.76317289,49.221,-123.086,-123.086  49.221,116750.9121
2021S051259153089,50.91177677,49.223,-123.087,-123.087  49.223,84950.93875
2021S051259153090,54.87064479,49.22,-123.093,-123.093  49.22,77750.29927
2021S051259153091,50.09391077,49.218,-123.094,-123.094  49.218,63224.95953
2021S051259153092,58.60659103,49.217,-123.095,-123.095  49.217,58414.3925
2021S051259153093,53.45719802,49.214,-123.097,-123.097  49.214,96119.12611
2021S051259153094,42.55451725,49.215,-123.1,-123.1  49.215,49877.01258
2021S051259153095,50.34667363,49.212,-123.1,-123.1  49.212,75453.40891
2021S051259153096,51.07286608,49.213,-123.104,-123.104  49.213,84005.40891
2021S051259153097,40.69522416,49.209,-123.11,-123.11  49.209,887602.0887
2021S051259153098,44.16511031,49.207,-123.12,-123.12  49.207,171443.4629
2021S051259153123,38.17580363,49.269,-123.156,-123.156  49.269,34254.1794
2021S051259153124,43.00543142,49.27,-123.156,-123.156  49.27,16977.23186
2021S051259153132,43.73731181,49.265,-123.136,-123.136  49.265,120225.6141
2021S051259153133,36.0379121,49.264,-123.131,-123.131  49.264,68776.58585
2021S051259153134,41.05994842,49.263,-123.133,-123.133  49.263,35934.1276
2021S051259153135,37.76641208,49.262,-123.13,-123.13  49.262,54294.04091
2021S051259153136,38.69698546,49.262,-123.128,-123.128  49.262,53949.43708
2021S051259153137,36.34169662,49.261,-123.134,-123.134  49.261,34673.59175
2021S051259153138,35.27420123,49.263,-123.136,-123.136  49.263,55592.39508
2021S051259153139,39.29360493,49.262,-123.137,-123.137  49.262,36044.44083
2021S051259153140,38.87970344,49.262,-123.14,-123.14  49.262,75956.78018
2021S051259153144,33.54028803,49.265,-123.122,-123.122  49.265,43184.77158
2021S051259153151,36.35224551,49.262,-123.112,-123.112  49.262,109309.3798
2021S051259153152,37.06386509,49.262,-123.118,-123.118  49.262,133007.6628
2021S051259153153,43.67110198,49.259,-123.117,-123.117  49.259,49193.92015
2021S051259153154,42.39124599,49.258,-123.118,-123.118  49.258,75463.10919
2021S051259153155,34.43717533,49.259,-123.113,-123.113  49.259,79137.65843
2021S051259153156,32.53828125,49.259,-123.108,-123.108  49.259,41139.12061
2021S051259153157,32.54515587,49.26,-123.107,-123.107  49.26,66550.88247
2021S051259153158,34.24589722,49.262,-123.108,-123.108  49.262,80749.51999
2021S051259153159,36.63431871,49.262,-123.103,-123.103  49.262,73761.39313
2021S051259153160,40.28278607,49.26,-123.103,-123.103  49.26,72056.71317
2021S051259153161,33.84335131,49.258,-123.104,-123.104  49.258,42495.08906
2021S051259153162,41.5005355,49.257,-123.103,-123.103  49.257,29595.07474
2021S051259153163,37.76261893,49.264,-123.103,-123.103  49.264,81884.50959
2021S051259153164,43.82039123,49.267,-123.099,-123.099  49.267,99179.64092
2021S051259153165,45.89289103,49.265,-123.097,-123.097  49.265,32679.43535
2021S051259153166,37.10024443,49.256,-123.118,-123.118  49.256,110521.6725
2021S051259153167,27.55442353,49.253,-123.122,-123.122  49.253,169487.9555
2021S051259153168,45.98323292,49.274,-123.101,-123.101  49.274,29879.83799
2021S051259153171,37.33515498,49.278,-123.136,-123.136  49.278,67481.43583
2021S051259153172,36.83925451,49.277,-123.134,-123.134  49.277,20725.27361
2021S051259153181,48.57194901,49.285,-123.088,-123.088  49.285,819283.6934
2021S051259153182,79.32952081,49.282,-123.092,-123.092  49.282,14930.34761
2021S051259153183,46.83135751,49.282,-123.089,-123.089  49.282,78552.10252
2021S051259153184,65.10943081,49.28,-123.091,-123.091  49.28,77077.41174
2021S051259153185,46.03628464,49.28,-123.086,-123.086  49.28,52572.28698
2021S051259153186,38.94236527,49.279,-123.088,-123.088  49.279,69590.65295
2021S051259153187,95.08512218,49.279,-123.084,-123.084  49.279,56328.84422
2021S051259153188,52.23093365,49.275,-123.084,-123.084  49.275,162855.1788
2021S051259153189,42.87613607,49.279,-123.08,-123.08  49.279,223785.3844
2021S051259153190,48.40876679,49.279,-123.074,-123.074  49.279,200991.6832
2021S051259153191,39.04142505,49.278,-123.071,-123.071  49.278,56371.30212
2021S051259153192,57.23058126,49.278,-123.069,-123.069  49.278,30220.10038
2021S051259153193,48.7468232,49.277,-123.067,-123.067  49.277,49004.52744
2021S051259153194,43.44381939,49.279,-123.067,-123.067  49.279,19893.0504
2021S051259153195,39.52672352,49.28,-123.067,-123.067  49.28,20308.2257
2021S051259153196,57.93657337,49.28,-123.069,-123.069  49.28,32195.99658
2021S051259153197,69.00855379,49.285,-123.072,-123.072  49.285,719766.3972
2021S051259153198,41.98845879,49.284,-123.063,-123.063  49.284,70447.08819
2021S051259153199,47.39127612,49.283,-123.062,-123.062  49.283,28613.87711
2021S051259153200,42.07475121,49.281,-123.063,-123.063  49.281,129037.9271
2021S051259153201,47.26751851,49.282,-123.058,-123.058  49.282,61807.44668
2021S051259153202,45.21309336,49.284,-123.06,-123.06  49.284,27814.96444
2021S051259153203,51.15126466,49.285,-123.06,-123.06  49.285,28456.20515
2021S051259153204,53.71597738,49.286,-123.06,-123.06  49.286,30321.74523
2021S051259153205,53.13843345,49.286,-123.057,-123.057  49.286,26768.49398
2021S051259153206,41.82876254,49.288,-123.059,-123.059  49.288,33939.76677
2021S051259153207,44.3108264,49.289,-123.058,-123.058  49.289,40314.17609
2021S051259153208,47.59458361,49.289,-123.06,-123.06  49.289,249823.0608
2021S051259153209,41.57209441,49.289,-123.056,-123.056  49.289,72086.37339
2021S051259153210,42.86947163,49.289,-123.053,-123.053  49.289,98268.29763
2021S051259153211,43.5124445,49.288,-123.051,-123.051  49.288,85975.59962
2021S051259153212,47.73151952,49.287,-123.048,-123.048  49.287,83392.04486
2021S051259153213,46.8451921,49.288,-123.046,-123.046  49.288,126642.6862
2021S051259153214,40.06596455,49.291,-123.047,-123.047  49.291,208260.515
2021S051259153215,43.59191762,49.286,-123.038,-123.038  49.286,1446418.335
2021S051259153216,48.84363541,49.283,-123.047,-123.047  49.283,138052.8638
2021S051259153217,44.03358832,49.284,-123.05,-123.05  49.284,115507.3353
2021S051259153218,47.62408321,49.283,-123.054,-123.054  49.283,105457.5701
2021S051259153219,45.5179764,49.284,-123.056,-123.056  49.284,45940.92447
2021S051259153220,42.10764888,49.286,-123.054,-123.054  49.286,72253.06865
2021S051259153221,45.01113645,49.279,-123.053,-123.053  49.279,77860.81784
2021S051259153222,52.12429927,49.28,-123.057,-123.057  49.28,129777.1316
2021S051259153223,33.5969847,49.279,-123.062,-123.062  49.279,127757.4211
2021S051259153224,46.17816794,49.279,-123.05,-123.05  49.279,138244.9303
2021S051259153225,52.44728335,49.277,-123.048,-123.048  49.277,115518.3262
2021S051259153226,47.26172993,49.275,-123.049,-123.049  49.275,105634.3928
2021S051259153227,54.15549706,49.279,-123.044,-123.044  49.279,104384.5962
2021S051259153228,42.49895873,49.276,-123.042,-123.042  49.276,88304.3825
2021S051259153229,50.64880127,49.277,-123.036,-123.036  49.277,79603.18217
2021S051259153230,48.00780923,49.279,-123.034,-123.034  49.279,178008.7107
2021S051259153231,33.49984385,49.276,-123.068,-123.068  49.276,56410.24118
2021S051259153232,33.10984257,49.275,-123.073,-123.073  49.275,185642.4279
2021S051259153246,38.53105082,49.281,-123.125,-123.125  49.281,17376.65158
2021S051259153249,30.74238092,49.244,-123.108,-123.108  49.244,310819.8187
2021S051259153250,28.3129471,49.24,-123.112,-123.112  49.24,709917.3044
2021S051259153251,33.67457241,49.248,-123.111,-123.111  49.248,162929.1552
2021S051259153252,33.96421528,49.25,-123.107,-123.107  49.25,121386.1217
2021S051259153253,15.50131356,49.254,-123.143,-123.143  49.254,356338.4827
