Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
7.7,12.8,31.8,11.3,57.9,20.7,31.8,40.9,19.6,0,0,0,51.4,11.3,90.8,0,91.3,11.4,85.2,10.2,27.1,20.3,97.3,79.5,31.4,4.3,5.5,0,0.0
3.4,13.8,17.6,11.9,47.5,18.3,49,43.1,24,0,0,0,26.1,21,71.7,1.4,92.4,23.5,85.0,9.3,26.3,18.6,97.5,52.8,24,13.1,5.2,7.8,0.0
8.6,15.5,39,7.5,50,20.6,34.1,43.9,14.6,0,0,0,29.5,15.2,71.4,7.6,92.8,22,81.2,5.9,23.7,11.9,98.4,85.4,18.8,17.1,6.3,4.9,0.0
0,13.9,17.1,6.2,32.6,9,51.2,41.5,15.6,0,0,0,22.5,15.7,54.9,2,92.0,23.8,83.9,6.8,26.3,11.0,96.9,65.9,22.2,13.6,5.6,9.8,0.0
0,18.2,15,7.4,36.4,13,32.5,50,18.5,0,0,0,26.6,3.2,48.9,0,91.7,42.5,82.5,6.8,24.6,6.8,98.2,80,25.9,14.9,6,5,4.2
7.1,8.9,26.3,16.9,52.2,24.2,36.8,50,22.2,0,0,0,52.5,5.9,77.5,0,90.7,21.1,85.2,2.5,20.3,11.0,100,76.4,28.9,13.9,5.9,5.3,0.0
7.1,5.7,38.1,15.2,59.2,28.8,35.7,45.2,15.9,0,0,0,21.2,14.4,78,0,93.0,21.4,85.2,8.5,18.6,16.1,96.7,80.9,36.4,10,5.6,4.8,4.2
10.3,13.8,11,1.8,28.9,12.5,34.4,40.6,28.8,0,0,0,25.3,3.6,45.5,0,88.8,12.5,88.4,5.1,46.6,10.2,99.1,34.4,15.3,10.9,5.7,3.1,0.0
4.3,23.4,28.2,14.3,57,27.5,34.4,37.5,19,0,0,0,34.8,6.7,74.4,0,91.2,12.9,83.9,8.5,17.8,14.4,95.7,72,23.8,6.7,5.6,0,0.0
7.3,12.2,26.6,4.3,40.1,10.9,46.9,42.2,20,0,0,0,12.7,3.6,35.3,3,89.3,20.3,82.5,9.3,35.6,17.8,99,86,23.3,10.4,5.4,10.9,0.0
4.4,6.7,28.2,11.9,53.1,22.9,37.5,43.8,12.2,0,0,0,19.6,28,74.8,0,90.6,12.5,85.0,5.1,19.5,14.4,98.1,81.3,31.7,6.5,5.8,6.3,0.0
4.9,24.4,21.1,9.3,47.6,19.8,52.6,52.6,13.9,0,0,0,34.4,6.7,55.6,3.4,93.3,26.3,83.9,5.1,20.3,12.7,98.1,73.7,30.6,16.9,5.4,5.3,4.2
9.1,6.1,16.7,6.7,39,9.6,47.2,44.4,24.4,0,0,0,37,4.3,65.2,0,91.8,30.6,82.5,0.0,22.9,5.1,100,69.4,19.5,12.2,5.7,0,0.0
0,5.2,53.8,8,50.5,20.2,48.1,61.5,19.2,0,0,0,35.8,2.8,59.6,0,94.4,19.2,85.2,3.4,16.1,22.0,100,84.6,15.4,4.6,5,5.8,4.2
4.3,11.4,30.3,8.3,51.8,18.2,30.4,50,17.1,0,0,0,54.3,3.9,78,0,92.1,21.7,83.9,8.5,22.0,14.4,95.5,78.3,22,15.1,6.7,6.5,0.0
6.3,4.2,18.5,5.5,38,13.9,47.4,34.2,19.4,0,0,0,40,6.7,67.4,0,92.2,21.1,81.2,1.7,22.0,7.6,98.1,68.5,25.8,12.5,5.6,0,0.0
9.1,12.1,26,6.8,45,15,48,48,26.9,0,0,0,45.3,8.6,77.7,0,91.2,26,82.5,3.4,31.4,16.9,100,68,38.5,20.3,6.1,0,0.0
5.8,8.1,21.5,10.3,45.3,13.7,60,47.1,24.1,0,0,0,28.6,9.3,64.8,0,93.6,22.9,85.2,9.3,44.1,14.4,99.1,80,44.6,13.8,5,4.3,0.0
9.4,18.9,18.2,14.3,62.9,20,36.4,33.3,31.6,0,0,0,42.4,6.1,67.7,2,89.3,18.2,85.0,9.3,20.3,12.7,96.6,84.9,21.1,15.3,6.1,6.1,0.0
0,8.3,23.6,15.9,53.2,25,32.4,41.2,10.3,0,0,0,39,8.5,76.8,2.4,93.5,44.1,85.2,5.9,11.9,11.0,97.8,70.5,27.6,17.1,5.8,0,0.0
3.7,15.9,19,16.9,59.1,20.9,33.3,38.1,25.4,0,0,0,45.6,22.4,90.5,0,92.8,23.8,87.8,6.8,29.7,16.9,98.7,81,32.2,5.6,5.5,4.8,0.0
7.1,11.2,27,9.7,45.1,18.8,38.1,47.6,29.7,0,0,0,40.7,13,78.4,2.5,93.1,28.1,91.7,10.2,30.5,18.6,96.8,60.2,25,11.3,4.6,6.3,0.0
5.5,14.8,11.7,11.5,42.7,20.1,50,59.2,21.6,0,0,0,45.7,4.1,83.1,0,94.2,31.7,95.6,11.0,59.3,27.1,98.6,22.5,33,17.4,3.5,2.5,0.0
7.3,9.2,24.9,16.1,50.6,22.8,32.4,51.5,19.2,0,0,0,44.4,15,91,0,92.6,30.4,91.7,5.1,36.4,26.3,98.9,42.8,31.5,21.4,4.3,0,0.0
8.2,14.3,25.9,18.8,56.1,25.8,51.9,55.6,9.7,0,0,0,54.7,8,96,0,94.0,32.1,85.2,3.4,13.6,6.8,100,70.3,9.7,12,4.8,11.1,4.2
3.8,6.3,31.3,14.1,57.1,24.2,29.2,37.5,19.6,0,0,0,39.9,7.8,77,0,90.1,14.3,85.0,10.2,27.1,21.2,94.9,64.6,17.9,8.1,6.1,6.3,0.0
2.5,15.2,36.4,10,55.6,20.2,25,50,9.3,0,0,0,63.2,2.6,89.7,0,93.7,25,83.9,3.4,23.7,19.5,95,50.1,18.6,8.5,6.2,0,0.0
3.2,17.7,20.4,9.1,36.9,18.2,54.2,42.4,23.8,0,2.1,0,44.3,14.3,81.4,0,92.6,18.6,85.2,5.1,35.6,13.6,96.6,47.5,23.8,19.4,5,0,0.0
4.4,18.7,26.9,13,57.2,19.3,42.3,50,15.8,0,0,0,30.4,20.3,81.8,2.5,90.4,28.8,82.0,8.5,27.1,21.2,96.6,61.5,14,11.5,6,7.7,0.0
8.3,6.9,32.6,8.9,53.2,19.6,37,45.7,26.2,0,0,0,57.5,15.7,85,0,93.0,32.6,81.2,1.7,17.8,16.9,96.4,65.2,23.8,9.5,6.3,0,0.0
8.1,18.9,24.4,10,51.6,14.7,39,53.7,21.7,0,0,0,56.4,13.6,95.5,0,92.4,35,78.6,5.1,19.5,10.2,96.8,48.7,19.6,14.5,5.7,0,0.0
